NAME,PLATE,MW
MOL00000001,PLATE00000001,333.77
MOL00000002,PLATE00000001,334.39
MOL00000003,PLATE00000001,355.50
MOL00000004,PLATE00000001,399.41
MOL00000005,PLATE00000001,322.29
MOL00000006,PLATE00000001,383.38
MOL00000007,PLATE00000001,298.40
MOL00000008,PLATE00000001,359.36
MOL00000009,PLATE00000001,310.41
MOL00000010,PLATE00000001,283.35
MOL00000011,PLATE00000001,378.49
MOL00000012,PLATE00000001,290.38
MOL00000013,PLATE00000001,343.45
MOL00000014,PLATE00000001,274.36
MOL00000015,PLATE00000001,359.41
MOL00000016,PLATE00000001,387.46
MOL00000017,PLATE00000001,274.28
MOL00000018,PLATE00000001,396.49
MOL00000019,PLATE00000001,303.24
MOL00000020,PLATE00000001,355.41
MOL00000021,PLATE00000001,386.47
MOL00000022,PLATE00000001,306.75
MOL00000023,PLATE00000001,327.81
MOL00000024,PLATE00000001,376.44
MOL00000025,PLATE00000001,363.84
MOL00000026,PLATE00000001,327.38
MOL00000027,PLATE00000001,316.35
MOL00000028,PLATE00000001,303.28
MOL00000029,PLATE00000001,384.37
MOL00000030,PLATE00000001,369.46
MOL00000031,PLATE00000001,291.33
MOL00000032,PLATE00000001,260.19
MOL00000033,PLATE00000001,329.37
MOL00000034,PLATE00000001,316.31
MOL00000035,PLATE00000001,328.37
MOL00000036,PLATE00000001,325.36
MOL00000037,PLATE00000001,311.34
MOL00000038,PLATE00000001,274.30
MOL00000039,PLATE00000001,345.36
MOL00000040,PLATE00000001,278.74
MOL00000041,PLATE00000001,351.37
MOL00000042,PLATE00000001,284.71
MOL00000043,PLATE00000001,374.42
MOL00000044,PLATE00000001,265.23
MOL00000045,PLATE00000001,286.36
MOL00000046,PLATE00000001,388.39
MOL00000047,PLATE00000001,301.33
MOL00000048,PLATE00000001,278.31
MOL00000049,PLATE00000001,297.29
MOL00000050,PLATE00000001,258.27
MOL00000051,PLATE00000001,271.38
MOL00000052,PLATE00000001,315.25
MOL00000053,PLATE00000001,329.28
MOL00000054,PLATE00000001,369.41
MOL00000055,PLATE00000001,303.38
MOL00000056,PLATE00000001,376.45
MOL00000057,PLATE00000001,278.27
MOL00000058,PLATE00000001,341.41
MOL00000059,PLATE00000001,310.33
MOL00000060,PLATE00000001,276.35
MOL00000061,PLATE00000001,301.41
MOL00000062,PLATE00000001,266.30
MOL00000063,PLATE00000001,350.34
MOL00000064,PLATE00000001,372.45
