ChEMBL_ID,SMILES
CHEMBL2,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4
CHEMBL3,CN1CCC[C@H]1c2cccnc2
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O
CHEMBL5,CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3
CHEMBL403,CC1(C)[C@@H](N2[C@@H](CC2=O)S1(=O)=O)C(=O)O
CHEMBL404,C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)O
CHEMBL8,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
CHEMBL9,CCN1C=C(C(=O)O)C(=O)c2cc(F)c(cc12)N3CCNCC3
CHEMBL405,CC(N)Cc1ccccc1
CHEMBL6622,[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-]
CHEMBL6437,CN1CCN2C(C1)c3ccccc3Cc4ccccc24
CHEMBL11,CN(C)CCCN1c2ccccc2CCc3ccccc13
CHEMBL406,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c3cc(F)ccc23
CHEMBL408,Cc1c(C)c2OC(C)(COc3ccc(CC4SC(=O)NC4=O)cc3)CCc2c(C)c1O
CHEMBL409,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc2ccc(C#N)c(c2)C(F)(F)F
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
CHEMBL13,COCCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL411,CC\C(=C(\CC)/c1ccc(O)cc1)\c2ccc(O)cc2
CHEMBL267936,CNC1(C)C2CCC(C2)C1(C)C
CHEMBL14,[Cl-].C[N+](C)(C)CCOC(=O)N
CHEMBL16,OC1=NC(=O)C(N1)(c2ccccc2)c3ccccc3
